Key	MapManNumber	Description
AT1G11655.1		
AT1G11710.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G11750.1	GMM:29.5.5	protein.degradation.serine protease
AT1G11765.1		
AT1G11770.1	GMM:26.8;GMM:16.4.1	"misc.nitrilases, nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases;secondary metabolism.N misc.alkaloid-like"
AT1G11840.1	GMM:24.2	biodegradation of xenobiotics.lactoylglutathione lyase
AT1G11860.1	GMM:13.2.5.2;GMM:1.2.4.2	amino acid metabolism.degradation.serine-glycine-cysteine group.glycine;PS.photorespiration.glycine cleavage.T subunit
AT1G11900.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G11910.1	GMM:29.5.4	protein.degradation.aspartate protease
AT1G11950.1	GMM:27.3.57	RNA.regulation of transcription.JUMONJI family
AT1G12000.1	GMM:4.1.5	glycolysis.cytosolic branch.pyrophosphate-fructose-6-P phosphotransferase
AT1G12010.1	GMM:17.5.1.2	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate oxidase
AT1G12230.1	GMM:7.2.2	OPP.non-reductive PP.transaldolase
AT1G12310.1	GMM:29.4	protein.postranslational modification
AT1G12350.1	GMM:18.4.6	Co-factor and vitamine metabolism.pantothenate.phosphopantothenoylcysteine synthetase (PPCS)
AT1G12410.1	GMM:29.5.5	protein.degradation.serine protease
AT1G12450.1		
AT1G12620.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G12740.1	GMM:26.10	misc.cytochrome P450
AT1G12840.1	GMM:34.1	transport.p- and v-ATPases
AT1G12900.1	GMM:1.3.4	PS.calvin cycle.GAP
AT1G12950.1	GMM:34.99	transport.misc
AT1G13040.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G13220.2	GMM:35.1	not assigned.no ontology
AT1G13280.1	GMM:17.7.1.4	hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase
AT1G13350.1	GMM:29.4	protein.postranslational modification
AT1G13440.1	GMM:4.1.8	glycolysis.cytosolic branch.glyceraldehyde 3-phosphate dehydrogenase (GAP-DH)
AT1G13550.1		
AT1G13610.1		
AT1G13650.1	GMM:35.2	not assigned.unknown
AT1G13750.1	GMM:26.13	misc.acid and other phosphatases
AT1G13930.1	GMM:20.2.3	stress.abiotic.drought/salt
AT1G14185.1		
AT1G14320.1	GMM:29.2.1.2.2.10	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10
AT1G14330.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G14345.1		
AT1G14470.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G14520.1	GMM:3.4.4	minor CHO metabolism.myo-inositol.myo-inositol oxygenases
AT1G14580.1	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family
AT1G14660.1	GMM:34.14	transport.unspecified cations
AT1G14780.1		
AT1G14810.1	GMM:13.1.3.6.1.2	amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate semialdehyde dehydrogenase
AT1G14850.1	GMM:29.3.1	protein.targeting.nucleus
AT1G14970.1	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated
AT1G14980.1	GMM:29.6	protein.folding
AT1G15020.1	GMM:21.1.2	redox.thioredoxin.QSOX
AT1G15060.1	GMM:35.2	not assigned.unknown
AT1G15140.1	GMM:1.1.5.4	PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase
AT1G15340.1	GMM:27.3.59	RNA.regulation of transcription.methyl binding domain proteins
AT1G15400.1		
AT1G15480.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G15660.1	GMM:31.2	cell.division
AT1G15690.1	GMM:34.30	transport.H+ transporting pyrophosphatase
AT1G15770.1		
AT1G15820.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT1G15830.1	GMM:35.2	not assigned.unknown
AT1G15930.1	GMM:29.2.1.2.1.12	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S12
AT1G15940.1		
AT1G15980.1		
AT1G16030.1	GMM:20.2.1	stress.abiotic.heat
AT1G16080.1		
AT1G16160.1	GMM:30.2.25	signalling.receptor kinases.wall associated kinase
AT1G16240.1	GMM:31.4	cell.vesicle transport
AT1G16250.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G16400.1	GMM:26.10;GMM:16.5.1.1.1.6	misc.cytochrome P450;secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.CYP79F1/F2 monooxygenase
AT1G16470.1	GMM:29.5	protein.degradation
AT1G16690.1	GMM:27.3.65	RNA.regulation of transcription.polycomb group (PcG)
AT1G16760.1	GMM:29.4.1.59	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase IX
AT1G16800.1	GMM:27.1.19	RNA.processing.ribonucleases
AT1G16850.1		
AT1G16880.1		
AT1G16920.1	GMM:30.5	signalling.G-proteins
AT1G17000.1	GMM:3.2.1	minor CHO metabolism.trehalose.TPS
AT1G17050.1	GMM:16.1.2.8	secondary metabolism.isoprenoids.mevalonate pathway.geranyl diphosphate synthase
AT1G17100.1	GMM:19.99	tetrapyrrole synthesis.unspecified
AT1G17140.1	GMM:33.99;GMM:31.4	development.unspecified;cell.vesicle transport
AT1G17180.1	GMM:26.9	misc.glutathione S transferases
AT1G17220.1	GMM:29.2.3	protein.synthesis.initiation
AT1G17290.1	GMM:13.1.1.3.1	amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine aminotransferase
AT1G17370.1	GMM:27.1.1	RNA.processing.splicing
AT1G17400.1	GMM:35.2	not assigned.unknown
AT1G17420.1	GMM:17.7.1.2	hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase
AT1G17580.1	GMM:31.1	cell.organisation
AT1G17630.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G17780.2	GMM:35.2	not assigned.unknown
AT1G17880.1	GMM:27.3.50	RNA.regulation of transcription.general transcription
AT1G18070.1	GMM:30.5	signalling.G-proteins
AT1G18080.1	GMM:33.99	development.unspecified
AT1G18160.1	GMM:30.6	signalling.MAP kinases
AT1G18210.1	GMM:30.3	signalling.calcium
AT1G18265.1		
AT1G18300.1	GMM:23.3.3	nucleotide metabolism.salvage.NUDIX hydrolases
AT1G18370.1	GMM:31.1	cell.organisation
AT1G18410.1	GMM:31.1	cell.organisation
AT1G18450.1	GMM:31.1	cell.organisation
AT1G18500.1	GMM:13.1.4.4.1	amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase
AT1G18540.1	GMM:29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6
AT1G18640.2	GMM:13.1.5.1.3	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine phosphatase
AT1G19086.1		
AT1G19090.1	GMM:30.2.17	signalling.receptor kinases.DUF 26
AT1G19485.1	GMM:28.2	DNA.repair
AT1G19550.1	GMM:21.2.1	redox.ascorbate and glutathione.ascorbate
AT1G19570.1	GMM:21.2.1	redox.ascorbate and glutathione.ascorbate
AT1G19630.1	GMM:26.10	misc.cytochrome P450
AT1G19910.1	GMM:34.1.1.2;GMM:34.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit C;transport.p- and v-ATPases.H+-transporting two-sector ATPase
AT1G19920.1	GMM:14.1	S-assimilation.APS
AT1G19950.1	GMM:17.1.1	hormone metabolism.abscisic acid.synthesis-degradation
AT1G20010.1	GMM:31.1	cell.organisation
AT1G20020.1	GMM:1.1.5.3	PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase
AT1G20020.3	GMM:1.1.5.3	PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase
AT1G20200.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G20260.2	GMM:34.1.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit B
AT1G20300.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G20340.1	GMM:1.1.5.1	PS.lightreaction.other electron carrier (ox/red).plastocyanin
AT1G20440.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G20450.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G20450.2	GMM:20.2.99	stress.abiotic.unspecified
AT1G20530.1		
AT1G20580.1	GMM:27.1	RNA.processing
AT1G20620.1	GMM:21.6	redox.dismutases and catalases
AT1G20620.5	GMM:21.6	redox.dismutases and catalases
AT1G20630.1	GMM:21.6	redox.dismutases and catalases
AT1G20693.1	GMM:27.3.62	RNA.regulation of transcription.nucleosome/chromatin assembly factor group
AT1G20696.1	GMM:27.3.62	RNA.regulation of transcription.nucleosome/chromatin assembly factor group
AT1G20720.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G20750.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G20950.1	GMM:4.1.5	glycolysis.cytosolic branch.pyrophosphate-fructose-6-P phosphotransferase
AT1G21200.1	GMM:27.3.30	RNA.regulation of transcription.triple-helix transcription factor family (Trihelix)
AT1G21430.1	GMM:26.7	"misc.oxidases - copper, flavone etc"
AT1G21450.1	GMM:33.99	development.unspecified
AT1G21620.1	GMM:35.1.12	not assigned.no ontology.pumilio/Puf RNA-binding domain-containing protein
AT1G21650.1	GMM:29.3.3	protein.targeting.chloroplast
AT1G21750.1	GMM:21.1.1	redox.thioredoxin.PDIL
AT1G21850.1	GMM:26.7	"misc.oxidases - copper, flavone etc"
AT1G22275.1	GMM:31.2;GMM:28.99	cell.division;DNA.unspecified
AT1G22300.1	GMM:30.7	signalling.14-3-3 proteins
AT1G22310.1	GMM:27.3.59	RNA.regulation of transcription.methyl binding domain proteins
AT1G22400.1	GMM:17.4.1	hormone metabolism.cytokinin.synthesis-degradation
AT1G22610.1	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein
AT1G22620.1	GMM:30.4	signalling.phosphinositides
AT1G22780.1	GMM:29.2.1.2.1.18	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S18
AT1G22840.1	GMM:9.6	mitochondrial electron transport / ATP synthesis.cytochrome c
AT1G22870.1	GMM:29.4	protein.postranslational modification
AT1G22970.1	GMM:35.2	not assigned.unknown
AT1G23190.1	GMM:4.1.2	glycolysis.cytosolic branch.phosphoglucomutase (PGM)
AT1G23290.1	GMM:29.2.1.2.2.527	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L27A
AT1G23300.1	GMM:34.99	transport.misc
AT1G23310.1	GMM:13.1.1.3.1	amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine aminotransferase
AT1G23340.1	GMM:35.2	not assigned.unknown
AT1G23410.1	GMM:29.2.1.2.1.27	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27
AT1G23570.1		
AT1G23600.1		
AT1G23690.1	GMM:35.2	not assigned.unknown
AT1G23730.1	GMM:8.3	TCA / organic transformation.carbonic anhydrases
AT1G23740.1	GMM:26.7	"misc.oxidases - copper, flavone etc"
AT1G23820.1	GMM:22.1.6	polyamine metabolism.synthesis.spermidine synthase
AT1G23900.1	GMM:31.4	cell.vesicle transport
AT1G24020.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G24100.1	GMM:17.2.1;GMM:16.5.1.1.4.3	hormone metabolism.auxin.synthesis-degradation;secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.UDP-glycosyltransferase
AT1G24180.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1
AT1G24220.1	GMM:35.1.25	not assigned.no ontology.paired amphipathic helix repeat-containing protein
AT1G24250.1	GMM:35.1.25	not assigned.no ontology.paired amphipathic helix repeat-containing protein
AT1G24290.1	GMM:30.5	signalling.G-proteins
AT1G24360.1	GMM:11.1.4	lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase
AT1G24460.1	GMM:31.1	cell.organisation
AT1G24510.1	GMM:29.4	protein.postranslational modification
AT1G24650.1	GMM:30.2.9	signalling.receptor kinases.leucine rich repeat IX
AT1G24706.1	GMM:35.2	not assigned.unknown
AT1G25270.1	GMM:33.99	development.unspecified
AT1G25490.1	GMM:29.4	protein.postranslational modification
AT1G26090.1		
AT1G26130.1	GMM:34.1	transport.p- and v-ATPases
AT1G26160.1	GMM:35.1	not assigned.no ontology
AT1G26630.1	GMM:29.2.3	protein.synthesis.initiation
AT1G26700.1	GMM:20.1.3.1	stress.biotic.signalling.MLO-like
AT1G26760.1	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
AT1G26880.1	GMM:29.2.1.2.2.34	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L34
AT1G26910.1	GMM:29.2.1.2.2.10	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10
AT1G26960.1	GMM:27.3.22	RNA.regulation of transcription.homeobox transcription factor family (HB)
AT1G27070.1	GMM:29.4	protein.postranslational modification
AT1G27120.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
AT1G27320.1	GMM:17.4.2	hormone metabolism.cytokinin.signal transduction
AT1G27400.1	GMM:29.2.1.2.2.17	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L17
AT1G27450.1	GMM:23.3.1.1	nucleotide metabolism.salvage.phosphoribosyltransferases.adenine phosphoribosyltransferase (APRT)
AT1G27520.1	GMM:26.3	"misc.gluco-, galacto- and mannosidases"
AT1G27870.1		
AT1G28590.1	GMM:26.28	misc.GDSL-motif lipase
AT1G29020.1	GMM:30.3	signalling.calcium
AT1G29150.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G29250.1		
AT1G29490.1	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated
AT1G29670.1	GMM:26.28	misc.GDSL-motif lipase
AT1G29740.1	GMM:30.2.8.2	signalling.receptor kinases.leucine rich repeat VIII.type 2
AT1G29840.1		
AT1G29880.1	GMM:29.1.14	protein.aa activation.glycine-tRNA ligase
AT1G29900.1	GMM:23.1.1.1	nucleotide metabolism.synthesis.pyrimidine.carbamoyl phosphate synthetase
AT1G29910.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT1G29930.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT1G30230.1	GMM:29.2.4	protein.synthesis.elongation
AT1G30380.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
AT1G30400.1	GMM:34.16	transport.ABC transporters and multidrug resistance systems
AT1G30440.1	GMM:30.11	signalling.light
AT1G30460.1	GMM:27.1.3.6	RNA.processing.3' end processing.CPSF30
AT1G30473.1	GMM:15.2	"metal handling.binding, chelation and storage"
AT1G30580.1		
AT1G30620.1	GMM:10.1.9	cell wall.precursor synthesis.MUR4
AT1G30630.1	GMM:31.4	cell.vesicle transport
AT1G30660.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G30860.1	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
AT1G30890.1		
AT1G30910.1		
AT1G31160.1	GMM:29.4	protein.postranslational modification
AT1G31330.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
AT1G31340.1	GMM:29.5.11	protein.degradation.ubiquitin
AT1G31360.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G31670.1	GMM:26.7	"misc.oxidases - copper, flavone etc"
AT1G31790.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G31810.1	GMM:35.1.20	not assigned.no ontology.formin homology 2 domain-containing protein
AT1G31812.1	GMM:11.1.13	lipid metabolism.FA synthesis and FA elongation.acyl-CoA binding protein
AT1G32060.1	GMM:1.3.12	PS.calvin cycle.PRK
AT1G32220.1		
AT1G32470.1	GMM:1.2.4.4	PS.photorespiration.glycine cleavage.H protein
AT1G32530.1	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
AT1G32850.1	GMM:29.5.11	protein.degradation.ubiquitin
AT1G32900.1	GMM:2.1.2.2	major CHO metabolism.synthesis.starch.starch synthase
AT1G32990.1	GMM:29.2.1.1.1.2.11	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L11
AT1G33120.1	GMM:29.2.1.2.2.9	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L9
AT1G33360.1	GMM:29.5.5	protein.degradation.serine protease
AT1G34360.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G34430.1	GMM:8.1.1.2	TCA / organic transformation.TCA.pyruvate DH.E2
AT1G35160.1	GMM:30.7	signalling.14-3-3 proteins
AT1G35330.1	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
AT1G35340.1	GMM:29.5	protein.degradation
AT1G35580.1	GMM:2.2.1.3.1	major CHO metabolism.degradation.sucrose.invertases.neutral
AT1G35680.1	GMM:29.2.1.1.1.2.21	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L21
AT1G35720.1	GMM:31.1	cell.organisation
AT1G36240.1	GMM:29.2.1.2.2.30	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L30
AT1G36280.1	GMM:23.1.2.8	nucleotide metabolism.synthesis.purine.SAICAR lyase
AT1G36730.1	GMM:29.2.3	protein.synthesis.initiation
AT1G37130.1	GMM:12.1.1	N-metabolism.nitrate metabolism.NR
AT1G41830.1	GMM:10.8.1	cell wall.pectinesterases.PME
AT1G41880.1	GMM:29.2.1.2.2.535	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35A
AT1G42550.1	GMM:31.1	cell.organisation
AT1G42960.1		
AT1G42970.1	GMM:1.3.4	PS.calvin cycle.GAP
AT1G43170.1	GMM:29.2.1.2.2.3	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L3
AT1G43560.1	GMM:21.1	redox.thioredoxin
