Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G03020.1	GMM:21.4	redox.glutaredoxins	-0.155985	NaN	-0.391220	NaN	0.028236	NaN	NaN	-0.454710	NaN	NaN	-0.531694	-0.471750	-0.860095	-0.434713	-0.192794	-0.165720	0.144772	-0.470915	-0.240007	-0.166914	-0.157923	-0.073030	NaN	NaN	-0.533571	NaN	NaN	NaN	-0.802626	-0.559253	NaN	NaN	NaN	NaN	NaN	0.256105	0.186320	NaN	NaN	0.483420	NaN	0.960928	0.592425	0.279078	NaN
AT1G03022.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.788518	-8.758465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03130.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.393567	-0.450484	-0.194121	NaN	NaN	NaN	0.065880	NaN	NaN	NaN	0.015729	NaN	-0.312882	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03160.1	GMM:30.5	signalling.G-proteins	NaN	NaN	NaN	NaN	NaN	NaN	-7.132522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03220.1	GMM:29.5.4	protein.degradation.aspartate protease	0.348141	0.379956	-9.039875	0.526042	0.112576	NaN	0.286472	0.179281	0.128013	-0.149988	0.056778	NaN	0.027121	-0.260833	NaN	-4.323071	-0.072390	-0.427255	NaN	NaN	0.076530	0.035145	0.015996	0.424743	0.155823	0.194238	NaN	-0.082352	-0.011779	NaN	-0.004708	-0.039993	NaN	0.357065	0.569311	0.715468	0.214858	0.298362	0.392095	0.234874	0.272831	-0.162352	NaN	-0.021724	NaN
AT1G03350.1	GMM:35.1.8	not assigned.no ontology.BSD domain-containing protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03360.1	GMM:27.1.19	RNA.processing.ribonucleases	NaN	NaN	-0.058470	NaN	0.074540	-0.179609	NaN	NaN	-14.071386	NaN	NaN	-0.339904	NaN	NaN	-0.179609	NaN	NaN	-0.069367	NaN	NaN	-0.107515	NaN	-13.691177	-0.094702	NaN	NaN	NaN	NaN	NaN	-0.243409	NaN	NaN	-0.241158	NaN	0.187592	NaN	NaN	NaN	0.008319	NaN	NaN	0.110222	NaN	0.142321	0.060387
AT1G03475.1	GMM:19.8	tetrapyrrole synthesis.coproporphyrinogen III oxidase	NaN	0.126178	0.034971	0.066403	0.205885	-0.057210	NaN	NaN	NaN	NaN	NaN	-0.562719	-0.728317	NaN	-0.057210	-0.403375	-0.293478	-0.342361	NaN	NaN	-0.281504	-0.117504	-0.183051	0.089182	0.190347	NaN	-0.384283	-0.187590	NaN	-0.113379	NaN	NaN	NaN	-0.265836	NaN	NaN	0.228813	-0.135612	0.207872	0.230436	0.485142	0.117122	0.256151	NaN	NaN
AT1G03490.1	GMM:33.99	development.unspecified	NaN	NaN	-13.034330	-0.652855	-12.727648	NaN	NaN	-1.258438	-0.964487	NaN	NaN	-0.955947	-1.209480	NaN	-1.160172	-1.635069	NaN	NaN	-1.188841	-12.673309	-0.988080	-0.683421	NaN	-0.554084	NaN	NaN	NaN	NaN	NaN	NaN	-0.671501	NaN	-0.501417	NaN	-1.095532	-0.695638	NaN	NaN	NaN	NaN	NaN	-0.715544	-1.044589	NaN	NaN
AT1G03520.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03600.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NaN	0.582396	0.014002	0.021781	0.171433	-0.245293	0.108110	-0.008298	-0.246964	-0.338616	-0.225135	-0.740014	-0.152300	-0.263965	-0.234557	-0.354659	-0.001074	-0.164675	-0.126911	NaN	-0.178651	-0.108939	-0.251151	-0.208900	0.012403	-0.208670	0.006177	NaN	-0.291646	-0.185116	-0.223112	0.099915	NaN	-0.043815	-0.227914	0.042240	0.937004	-0.131859	-0.064357	0.016826	0.033484	NaN	0.406160	0.072540	0.398751
AT1G03630.1	GMM:19.14	tetrapyrrole synthesis.protochlorophyllide reductase	NaN	NaN	-0.344506	NaN	NaN	0.063641	NaN	-10.913260	NaN	NaN	NaN	NaN	NaN	NaN	-0.623444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.019445	NaN	NaN	-0.368701	NaN	-10.861472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.450644	NaN	NaN	NaN	NaN
AT1G03680.1	GMM:21.1	redox.thioredoxin	-0.323442	-0.066929	-0.094073	0.271365	0.011213	-0.072698	-0.255026	-0.291668	-0.140449	-0.547657	-0.630020	-0.388750	-10.231597	-0.468208	-0.127306	-0.299148	-0.348778	-0.375782	-0.000476	0.131859	-0.315775	0.171113	-0.052089	-0.111524	-0.133352	-0.081396	NaN	-0.286449	-0.077514	-0.213307	-0.287687	-0.301408	-0.307559	-0.064767	-0.349941	-0.321951	0.123981	NaN	-0.009710	NaN	-5.514790	NaN	0.126726	0.129013	NaN
AT1G03750.1	GMM:28.1	DNA.synthesis/chromatin structure	-0.235122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.469334	-0.334606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.306783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.098851	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03870.1	GMM:10.5.1.1	cell wall.cell wall proteins.AGPs.AGP	NaN	0.129286	NaN	NaN	-0.089454	NaN	-0.192545	NaN	NaN	NaN	NaN	-0.024283	-0.331684	-0.142677	NaN	-0.384918	-10.238076	NaN	NaN	-0.047271	NaN	NaN	NaN	-0.026740	-0.012410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.099661	NaN	NaN	NaN	NaN	NaN
AT1G03990.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04090.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04110.1	GMM:29.5.1	protein.degradation.subtilases	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.030403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04140.1	GMM:33.99	development.unspecified	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04270.1	GMM:29.2.1.2.1.15	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15	NaN	NaN	NaN	-0.440805	-0.109401	NaN	NaN	NaN	-0.387956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.192851	NaN	NaN	NaN	-0.119025	NaN	NaN	0.218135	NaN	-0.298184	-0.287676	NaN	0.008634	-0.157639	NaN	-0.265489	-0.386938	NaN	NaN	-0.007533	NaN	0.116746	-0.024271	NaN	0.077525	NaN	NaN	NaN	0.218862
AT1G04300.1	GMM:35.1	not assigned.no ontology	NaN	NaN	NaN	NaN	-0.972573	-1.018681	NaN	NaN	-0.567690	NaN	NaN	-1.435390	NaN	NaN	NaN	-1.113606	NaN	NaN	NaN	NaN	-1.360342	NaN	-1.152118	-1.144761	NaN	NaN	NaN	-11.157676	-1.042023	NaN	NaN	NaN	-1.195911	NaN	NaN	NaN	NaN	NaN	NaN	-1.046081	NaN	NaN	-0.776975	NaN	NaN
AT1G04380.1	GMM:17.5.1	hormone metabolism.ethylene.synthesis-degradation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04410.1	GMM:8.2.9	TCA / organic transformation.other organic acid transformations.cyt MDH	-0.034076	0.030048	-0.001402	-0.119260	-0.011355	-0.022975	-0.121333	-0.214957	-0.256617	-0.360741	-0.280040	-0.231159	-0.292145	-0.343577	-0.096840	-0.158161	-0.112057	-0.138482	-0.145267	-0.172855	-0.090819	-0.097366	-0.108578	-0.082022	-0.119813	-0.070545	-0.084953	-0.187230	-0.255516	-0.311493	-0.217540	-0.256666	-0.354976	0.047982	0.022413	0.033921	0.203081	0.125137	0.175275	0.298803	0.350148	0.315113	0.466397	0.383412	0.361084
AT1G04420.1	GMM:3.5	minor CHO metabolism.others	-0.046353	NaN	0.078748	NaN	-0.363841	NaN	-0.467926	NaN	NaN	NaN	-0.365487	NaN	0.073926	NaN	NaN	NaN	NaN	NaN	-0.189843	NaN	0.225654	0.105934	NaN	-0.232546	NaN	NaN	NaN	NaN	0.068752	NaN	-0.078924	NaN	NaN	NaN	0.067655	NaN	0.037556	NaN	NaN	-0.197778	NaN	NaN	NaN	NaN	NaN
AT1G04430.1	GMM:20.2.3	stress.abiotic.drought/salt	NaN	NaN	NaN	NaN	-10.549711	NaN	-10.729120	NaN	NaN	-2.505804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.810250	NaN	NaN	NaN	NaN	-2.265281	-2.323416	NaN	-1.711735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04480.1	GMM:29.2.1.2.2.23	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L23	NaN	NaN	-0.490502	-0.309881	-0.055102	-0.285027	-0.470668	-0.096961	-0.558532	-10.783119	-0.658241	-0.380207	0.446825	-0.390874	-0.285027	-0.470113	-0.418865	-0.426157	NaN	-0.295822	-0.356972	-0.148203	-0.117017	-0.239615	NaN	-0.348877	-0.350764	NaN	-0.024646	NaN	-0.607313	-0.184610	-0.299888	-0.172480	-0.347953	-0.147618	0.240090	0.205171	0.058496	NaN	0.443681	0.209089	NaN	0.062373	NaN
AT1G04510.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04620.1	GMM:18	Co-factor and vitamine metabolism	-0.002803	0.018148	-0.077545	-0.072165	0.055572	-0.162564	-0.222743	-0.329784	-0.233425	-0.201421	-0.235640	-0.251009	-0.137582	-0.213252	-0.162564	-0.206636	-0.095561	-0.038622	-0.170112	-0.087182	-0.135078	-0.103145	0.003979	0.010449	-0.110790	-0.104747	-0.075169	-0.178118	-0.176008	-0.103475	0.016820	-0.126530	-0.141594	-0.008242	0.113841	0.124191	0.204349	0.274434	0.251495	0.308813	0.185622	0.266888	0.372143	0.256609	0.348943
AT1G04690.1	GMM:34.15	transport.potassium	NaN	NaN	-0.089097	NaN	-0.080119	-0.171962	-10.145152	-0.111837	-9.469656	-0.016286	NaN	NaN	NaN	NaN	-0.171962	-0.074099	0.138228	NaN	-0.090498	-0.066812	NaN	NaN	0.083324	-0.113347	NaN	-0.011051	NaN	NaN	NaN	NaN	0.152366	-10.362202	-0.069438	NaN	0.243226	-0.099848	-9.586115	0.220809	0.393868	0.407741	-0.010368	NaN	NaN	NaN	0.221641
AT1G04820.1	GMM:31.1	cell.organisation	-0.138351	0.022037	-0.073227	0.011071	0.229471	0.134175	-0.080823	-0.010806	-0.211490	-0.412089	-0.462122	-0.492066	-0.327379	-0.407674	-0.452318	-0.317568	-0.308268	-0.370295	-0.123675	0.027238	-0.073515	-0.108185	-0.025338	0.017048	-0.036353	-0.128021	-0.220181	-0.248783	-0.241551	-0.185917	-0.155016	-0.218272	-0.200397	-0.018335	0.046237	0.038379	0.189675	0.234425	0.148571	0.221951	0.267076	0.144680	0.255903	0.327504	0.247926
AT1G04840.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04880.1	GMM:27.3.38	RNA.regulation of transcription.AT-rich interaction domain containing transcription factor family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04920.1	GMM:2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS	NaN	NaN	NaN	NaN	NaN	NaN	4.106429	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.182127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04945.1	GMM:35.1	not assigned.no ontology	NaN	-1.557543	-1.700456	NaN	-0.024205	NaN	NaN	NaN	NaN	NaN	-1.366901	NaN	NaN	NaN	NaN	-1.932712	NaN	NaN	NaN	-1.782424	NaN	NaN	-0.360909	NaN	-0.086173	-1.740756	NaN	NaN	-0.126163	NaN	NaN	NaN	NaN	NaN	NaN	2.452478	NaN	-0.261917	NaN	NaN	0.293538	NaN	NaN	0.308744	NaN
AT1G04980.1	GMM:21.1.1	redox.thioredoxin.PDIL	NaN	-10.757636	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.467581	NaN	-11.063844	NaN	NaN	NaN	-10.934716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.520199	NaN	NaN	NaN	NaN	NaN	-9.903233	NaN	NaN	NaN	NaN
